adm3_en,month,NO2,date
City of Cagayan De Oro,2018-06,4.891280914233535E-5,2018-06-01T00:00:00
City of Iligan,2018-06,4.5390534145587255E-5,2018-06-01T00:00:00
City of Davao,2018-06,4.31131011086512E-5,2018-06-01T00:00:00
City of General Santos,2018-06,3.598389322346012E-5,2018-06-01T00:00:00
City of Caloocan,2018-06,6.97834018577911E-5,2018-06-01T00:00:00
City of Makati,2018-06,8.256102819080753E-5,2018-06-01T00:00:00
City of Malabon,2018-06,7.566400119438247E-5,2018-06-01T00:00:00
City of Mandaluyong,2018-06,8.587932548450226E-5,2018-06-01T00:00:00
City of Manila,2018-06,7.243029414908494E-5,2018-06-01T00:00:00
City of Marikina,2018-06,8.504608832586316E-5,2018-06-01T00:00:00
City of Muntinlupa,2018-06,6.090360767773405E-5,2018-06-01T00:00:00
City of Navotas,2018-06,6.930277020852368E-5,2018-06-01T00:00:00
Pasay City,2018-06,7.14528076388518E-5,2018-06-01T00:00:00
City of Pasig,2018-06,8.579609026943519E-5,2018-06-01T00:00:00
Quezon City,2018-06,8.023224890147076E-5,2018-06-01T00:00:00
City of San Juan,2018-06,8.679497554671872E-5,2018-06-01T00:00:00
City of Taguig,2018-06,8.237114565882887E-5,2018-06-01T00:00:00
City of Valenzuela,2018-06,8.139759809149454E-5,2018-06-01T00:00:00
City of Baguio,2018-06,5.2907954699910876E-5,2018-06-01T00:00:00
City of Butuan,2018-06,4.824545346493737E-5,2018-06-01T00:00:00
City of Cotabato,2018-06,5.3196338087756E-5,2018-06-01T00:00:00
City of Angeles,2018-06,5.246421386542772E-5,2018-06-01T00:00:00
City of Olongapo,2018-06,4.99672406454878E-5,2018-06-01T00:00:00
Ormoc City,2018-06,4.732185150453848E-5,2018-06-01T00:00:00
City of Tacloban,2018-06,4.485434145209409E-5,2018-06-01T00:00:00
City of Zamboanga,2018-06,4.1949201097101666E-5,2018-06-01T00:00:00
City of Isabela,2018-06,2.9109980274125618E-5,2018-06-01T00:00:00
Pateros,2018-06,8.540396523304575E-5,2018-06-01T00:00:00
City of Puerto Princesa,2018-06,4.184137459793801E-5,2018-06-01T00:00:00
City of Lucena,2018-06,4.9178517262588064E-5,2018-06-01T00:00:00
City of Bacolod,2018-06,4.886710613217403E-5,2018-06-01T00:00:00
City of Iloilo,2018-06,5.128067728364819E-5,2018-06-01T00:00:00
City of Cebu,2018-06,5.8887043572509676E-5,2018-06-01T00:00:00
City of Lapu-Lapu,2018-06,6.052317945139602E-5,2018-06-01T00:00:00
City of Mandaue,2018-06,6.693124314866224E-5,2018-06-01T00:00:00
City of Cagayan De Oro,2018-07,4.768238544385223E-5,2018-07-01T00:00:00
City of Iligan,2018-07,4.744504519937534E-5,2018-07-01T00:00:00
City of Davao,2018-07,4.818931751083663E-5,2018-07-01T00:00:00
City of General Santos,2018-07,4.205810762908649E-5,2018-07-01T00:00:00
City of Caloocan,2018-07,8.864982594376089E-5,2018-07-01T00:00:00
City of Makati,2018-07,9.039278491152163E-5,2018-07-01T00:00:00
City of Malabon,2018-07,8.801861137998861E-5,2018-07-01T00:00:00
City of Mandaluyong,2018-07,9.285203736720576E-5,2018-07-01T00:00:00
City of Manila,2018-07,8.462582700029105E-5,2018-07-01T00:00:00
City of Marikina,2018-07,9.511425450643314E-5,2018-07-01T00:00:00
City of Muntinlupa,2018-07,8.295701724585908E-5,2018-07-01T00:00:00
