NAME_2,month,NO2,date
Butuan City,2018-06,4.860863103952862E-5,2018-06-01T00:00:00
Baguio City,2018-06,5.272126888697739E-5,2018-06-01T00:00:00
Cebu City,2018-06,5.900398269138062E-5,2018-06-01T00:00:00
Lapu-Lapu City,2018-06,6.112730191354135E-5,2018-06-01T00:00:00
Mandaue City,2018-06,6.703420729776609E-5,2018-06-01T00:00:00
Davao City,2018-06,4.331286503240771E-5,2018-06-01T00:00:00
Iloilo City,2018-06,5.123972761344704E-5,2018-06-01T00:00:00
Ormoc City,2018-06,4.731881722278473E-5,2018-06-01T00:00:00
Tacloban City,2018-06,4.4668907811383595E-5,2018-06-01T00:00:00
Las Piñas,2018-06,6.657067249774593E-5,2018-06-01T00:00:00
Makati City,2018-06,8.267356087253822E-5,2018-06-01T00:00:00
Malabon,2018-06,7.529313516619532E-5,2018-06-01T00:00:00
Mandaluyong,2018-06,8.589482914982413E-5,2018-06-01T00:00:00
Manila,2018-06,7.229682461022429E-5,2018-06-01T00:00:00
Marikina,2018-06,8.515972535023657E-5,2018-06-01T00:00:00
Muntinlupa,2018-06,6.0662096663109655E-5,2018-06-01T00:00:00
Navotas,2018-06,6.766252536215961E-5,2018-06-01T00:00:00
Parañaque,2018-06,7.219165499155244E-5,2018-06-01T00:00:00
Pasay City,2018-06,7.156146065717221E-5,2018-06-01T00:00:00
Pasig City,2018-06,8.569043822489467E-5,2018-06-01T00:00:00
Quezon City,2018-06,8.137172543254504E-5,2018-06-01T00:00:00
San Juan,2018-06,8.62998677374626E-5,2018-06-01T00:00:00
Taguig,2018-06,8.228441254297522E-5,2018-06-01T00:00:00
Valenzuela,2018-06,8.334494783711046E-5,2018-06-01T00:00:00
Cagayan de Oro City,2018-06,5.0231881846601297E-5,2018-06-01T00:00:00
Bacolod City,2018-06,4.893081138822228E-5,2018-06-01T00:00:00
Puerto Princesa City,2018-06,4.200176907730034E-5,2018-06-01T00:00:00
Angeles City,2018-06,5.697086303154096E-5,2018-06-01T00:00:00
Lucena City,2018-06,4.94038199342904E-5,2018-06-01T00:00:00
General Santos City,2018-06,3.584156881627586E-5,2018-06-01T00:00:00
Olongapo City,2018-06,4.832011212672097E-5,2018-06-01T00:00:00
Zamboanga City,2018-06,4.184052917689097E-5,2018-06-01T00:00:00
Butuan City,2018-07,4.6790975718484454E-5,2018-07-01T00:00:00
Baguio City,2018-07,5.860234490711179E-5,2018-07-01T00:00:00
Cebu City,2018-07,5.3424435018017636E-5,2018-07-01T00:00:00
Lapu-Lapu City,2018-07,5.50709846238351E-5,2018-07-01T00:00:00
Mandaue City,2018-07,6.180637580630995E-5,2018-07-01T00:00:00
Davao City,2018-07,4.804144812656219E-5,2018-07-01T00:00:00
Iloilo City,2018-07,4.6843574764603735E-5,2018-07-01T00:00:00
Ormoc City,2018-07,4.5613113454072483E-5,2018-07-01T00:00:00
Tacloban City,2018-07,4.7113941688622934E-5,2018-07-01T00:00:00
Las Piñas,2018-07,8.234780822038659E-5,2018-07-01T00:00:00
Makati City,2018-07,9.045476034265032E-5,2018-07-01T00:00:00
Malabon,2018-07,8.798214292256784E-5,2018-07-01T00:00:00
Mandaluyong,2018-07,9.26977672386694E-5,2018-07-01T00:00:00
Manila,2018-07,8.436014739417525E-5,2018-07-01T00:00:00
Marikina,2018-07,9.512522951474711E-5,2018-07-01T00:00:00
Muntinlupa,2018-07,8.290643057863196E-5,2018-07-01T00:00:00
Navotas,2018-07,8.48944431948067E-5,2018-07-01T00:00:00
Parañaque,2018-07,8.595572090830649E-5,2018-07-01T00:00:00
Pasay City,2018-07,8.642381563556695E-5,2018-07-01T00:00:00
Pasig City,2018-07,9.425998703740483E-5,2018-07-01T00:00:00
Quezon City,2018-07,9.257817644850474E-5,2018-07-01T00:00:00
San Juan,2018-07,9.174315169214217E-5,2018-07-01T00:00:00
Taguig,2018-07,8.925667993606316E-5,2018-07-01T00:00:00
Valenzuela,2018-07,8.899122021275629E-5,2018-07-01T00:00:00
Cagayan de Oro City,2018-07,4.8157451417352195E-5,2018-07-01T00:00:00
Bacolod City,2018-07,5.0533731048026855E-5,2018-07-01T00:00:00
Puerto Princesa City,2018-07,4.0805146545865476E-5,2018-07-01T00:00:00
Angeles City,2018-07,6.764021373125152E-5,2018-07-01T00:00:00
Lucena City,2018-07,6.219653997752836E-5,2018-07-01T00:00:00
General Santos City,2018-07,4.267176902256349E-5,2018-07-01T00:00:00
Olongapo City,2018-07,5.404096602331611E-5,2018-07-01T00:00:00
Zamboanga City,2018-07,4.3186444429111334E-5,2018-07-01T00:00:00
Butuan City,2018-08,4.3626273052644675E-5,2018-08-01T00:00:00
Baguio City,2018-08,5.23466777208005E-5,2018-08-01T00:00:00
Cebu City,2018-08,5.450182111286997E-5,2018-08-01T00:00:00
Lapu-Lapu City,2018-08,5.574278493841415E-5,2018-08-01T00:00:00
Mandaue City,2018-08,6.1013689554043036E-5,2018-08-01T00:00:00
Davao City,2018-08,4.642188922867698E-5,2018-08-01T00:00:00
Iloilo City,2018-08,5.186826317000796E-5,2018-08-01T00:00:00
Ormoc City,2018-08,4.3725405296807006E-5,2018-08-01T00:00:00
Tacloban City,2018-08,4.580838728319536E-5,2018-08-01T00:00:00
Las Piñas,2018-08,6.791044387467804E-5,2018-08-01T00:00:00
Makati City,2018-08,8.595855548619633E-5,2018-08-01T00:00:00
Malabon,2018-08,7.289049668559345E-5,2018-08-01T00:00:00
Mandaluyong,2018-08,8.822079936001391E-5,2018-08-01T00:00:00
Manila,2018-08,8.222426463437896E-5,2018-08-01T00:00:00
Marikina,2018-08,9.578967364762755E-5,2018-08-01T00:00:00
Muntinlupa,2018-08,6.495700559019162E-5,2018-08-01T00:00:00
Navotas,2018-08,7.137972837865404E-5,2018-08-01T00:00:00
Parañaque,2018-08,7.419488216651241E-5,2018-08-01T00:00:00
Pasay City,2018-08,7.970950017671365E-5,2018-08-01T00:00:00
Pasig City,2018-08,8.897179035734283E-5,2018-08-01T00:00:00
Quezon City,2018-08,8.485638781134187E-5,2018-08-01T00:00:00
San Juan,2018-08,8.482421090240208E-5,2018-08-01T00:00:00
Taguig,2018-08,7.961989318898611E-5,2018-08-01T00:00:00
Valenzuela,2018-08,7.206040546379046E-5,2018-08-01T00:00:00
Cagayan de Oro City,2018-08,4.88317066986716E-5,2018-08-01T00:00:00
Bacolod City,2018-08,4.9139776972697604E-5,2018-08-01T00:00:00
Puerto Princesa City,2018-08,4.16930657396728E-5,2018-08-01T00:00:00
Angeles City,2018-08,5.5806482048843144E-5,2018-08-01T00:00:00
Lucena City,2018-08,5.103474423591385E-5,2018-08-01T00:00:00
General Santos City,2018-08,4.345273844304167E-5,2018-08-01T00:00:00
Olongapo City,2018-08,8.721114863874391E-5,2018-08-01T00:00:00
Zamboanga City,2018-08,4.237795855959556E-5,2018-08-01T00:00:00
Butuan City,2018-09,4.510154506944712E-5,2018-09-01T00:00:00
Baguio City,2018-09,6.080757265317397E-5,2018-09-01T00:00:00
Cebu City,2018-09,4.948949630676694E-5,2018-09-01T00:00:00
Lapu-Lapu City,2018-09,5.129152849728708E-5,2018-09-01T00:00:00
Mandaue City,2018-09,5.6284685676480125E-5,2018-09-01T00:00:00
Davao City,2018-09,4.605372093715223E-5,2018-09-01T00:00:00
Iloilo City,2018-09,5.0549595074562516E-5,2018-09-01T00:00:00
Ormoc City,2018-09,4.425785894619508E-5,2018-09-01T00:00:00
Tacloban City,2018-09,4.4532517947175275E-5,2018-09-01T00:00:00
Las Piñas,2018-09,8.652709452540623E-5,2018-09-01T00:00:00
Makati City,2018-09,1.1345738269204275E-4,2018-09-01T00:00:00
Malabon,2018-09,9.18788446933976E-5,2018-09-01T00:00:00
Mandaluyong,2018-09,1.2340414844373037E-4,2018-09-01T00:00:00
Manila,2018-09,1.1038640465400506E-4,2018-09-01T00:00:00
Marikina,2018-09,1.1194121632910433E-4,2018-09-01T00:00:00
Muntinlupa,2018-09,7.560164606532946E-5,2018-09-01T00:00:00
Navotas,2018-09,9.108335168279313E-5,2018-09-01T00:00:00
Parañaque,2018-09,9.461023598477505E-5,2018-09-01T00:00:00
Pasay City,2018-09,1.0266592791551752E-4,2018-09-01T00:00:00
Pasig City,2018-09,1.239368885164353E-4,2018-09-01T00:00:00
Quezon City,2018-09,1.0470241060671608E-4,2018-09-01T00:00:00
San Juan,2018-09,1.2368664089541808E-4,2018-09-01T00:00:00
Taguig,2018-09,1.0885085013999935E-4,2018-09-01T00:00:00
Valenzuela,2018-09,8.920363516661385E-5,2018-09-01T00:00:00
Cagayan de Oro City,2018-09,4.945793266159785E-5,2018-09-01T00:00:00
Bacolod City,2018-09,5.228646401353569E-5,2018-09-01T00:00:00
Puerto Princesa City,2018-09,4.078232044984331E-5,2018-09-01T00:00:00
Angeles City,2018-09,6.992476882287441E-5,2018-09-01T00:00:00
Lucena City,2018-09,5.125107045592352E-5,2018-09-01T00:00:00
General Santos City,2018-09,4.3007772988428904E-5,2018-09-01T00:00:00
Olongapo City,2018-09,5.6553780387033456E-5,2018-09-01T00:00:00
Zamboanga City,2018-09,3.9754729325110923E-5,2018-09-01T00:00:00
Butuan City,2018-10,4.2980432881291934E-5,2018-10-01T00:00:00
Baguio City,2018-10,6.440262224039572E-5,2018-10-01T00:00:00
Cebu City,2018-10,5.259677338593233E-5,2018-10-01T00:00:00
Lapu-Lapu City,2018-10,5.332392011261244E-5,2018-10-01T00:00:00
Mandaue City,2018-10,5.631702554960971E-5,2018-10-01T00:00:00
Davao City,2018-10,4.663865625495518E-5,2018-10-01T00:00:00
Iloilo City,2018-10,5.262025030741044E-5,2018-10-01T00:00:00
Ormoc City,2018-10,4.6800058672528234E-5,2018-10-01T00:00:00
