NAME_1,month,NO2,date
Davao del Norte,2018-06,4.4385439479405595E-5,2018-06-01T00:00:00
Abra,2018-06,5.2000815214294944E-5,2018-06-01T00:00:00
Agusan del Norte,2018-06,4.72965003187618E-5,2018-06-01T00:00:00
Agusan del Sur,2018-06,4.5187263633496286E-5,2018-06-01T00:00:00
Aklan,2018-06,4.991367991823991E-5,2018-06-01T00:00:00
Albay,2018-06,3.908586877921013E-5,2018-06-01T00:00:00
Antique,2018-06,4.55595698415743E-5,2018-06-01T00:00:00
Apayao,2018-06,4.5244897728908385E-5,2018-06-01T00:00:00
Aurora,2018-06,5.2587908069755684E-5,2018-06-01T00:00:00
Basilan,2018-06,3.289523763117345E-5,2018-06-01T00:00:00
Bataan,2018-06,5.3255311017479624E-5,2018-06-01T00:00:00
Batanes,2018-06,5.666001398487302E-5,2018-06-01T00:00:00
Batangas,2018-06,4.70363951134541E-5,2018-06-01T00:00:00
Benguet,2018-06,5.125240976586505E-5,2018-06-01T00:00:00
Biliran,2018-06,4.9433268604154326E-5,2018-06-01T00:00:00
Bohol,2018-06,4.2917546759208624E-5,2018-06-01T00:00:00
Bukidnon,2018-06,4.219288961829621E-5,2018-06-01T00:00:00
Bulacan,2018-06,5.9263112779243374E-5,2018-06-01T00:00:00
Cagayan,2018-06,4.696897776207859E-5,2018-06-01T00:00:00
Camarines Norte,2018-06,4.523562532628947E-5,2018-06-01T00:00:00
Camarines Sur,2018-06,4.130262451492866E-5,2018-06-01T00:00:00
Camiguin,2018-06,4.776634850196108E-5,2018-06-01T00:00:00
Capiz,2018-06,4.673983578351534E-5,2018-06-01T00:00:00
Catanduanes,2018-06,3.9275559255481625E-5,2018-06-01T00:00:00
Cavite,2018-06,4.8271706314693676E-5,2018-06-01T00:00:00
Cebu,2018-06,4.9414082272204164E-5,2018-06-01T00:00:00
Compostela Valley,2018-06,4.383246526241678E-5,2018-06-01T00:00:00
Davao del Sur,2018-06,4.034768750578304E-5,2018-06-01T00:00:00
Davao Oriental,2018-06,4.264374028084542E-5,2018-06-01T00:00:00
Dinagat Islands,2018-06,4.421577377883199E-5,2018-06-01T00:00:00
Eastern Samar,2018-06,4.703819766008612E-5,2018-06-01T00:00:00
Guimaras,2018-06,4.969760697611078E-5,2018-06-01T00:00:00
Ifugao,2018-06,5.253257767352917E-5,2018-06-01T00:00:00
Ilocos Norte,2018-06,5.180849325796707E-5,2018-06-01T00:00:00
Ilocos Sur,2018-06,5.387046700194571E-5,2018-06-01T00:00:00
Iloilo,2018-06,4.566098927052383E-5,2018-06-01T00:00:00
Isabela,2018-06,5.8187243549343565E-5,2018-06-01T00:00:00
Kalinga,2018-06,5.314025862738778E-5,2018-06-01T00:00:00
La Union,2018-06,5.458036674712776E-5,2018-06-01T00:00:00
Laguna,2018-06,5.853299933661652E-5,2018-06-01T00:00:00
Lanao del Norte,2018-06,4.4950697434240936E-5,2018-06-01T00:00:00
Lanao del Sur,2018-06,4.0418736914493285E-5,2018-06-01T00:00:00
Leyte,2018-06,4.773938764311589E-5,2018-06-01T00:00:00
Maguindanao,2018-06,4.2506598109968185E-5,2018-06-01T00:00:00
Marinduque,2018-06,4.8184399508265294E-5,2018-06-01T00:00:00
Masbate,2018-06,4.5903174462216E-5,2018-06-01T00:00:00
Metropolitan Manila,2018-06,7.695711291983001E-5,2018-06-01T00:00:00
Misamis Occidental,2018-06,4.009512075690832E-5,2018-06-01T00:00:00
Misamis Oriental,2018-06,4.791068940801408E-5,2018-06-01T00:00:00
Mountain Province,2018-06,5.2978777442247285E-5,2018-06-01T00:00:00
Negros Occidental,2018-06,4.613756713088166E-5,2018-06-01T00:00:00
Negros Oriental,2018-06,4.458125847792973E-5,2018-06-01T00:00:00
North Cotabato,2018-06,4.352243105496756E-5,2018-06-01T00:00:00
Northern Samar,2018-06,4.800893972735465E-5,2018-06-01T00:00:00
Nueva Ecija,2018-06,5.2143300272537756E-5,2018-06-01T00:00:00
Nueva Vizcaya,2018-06,5.324232540366743E-5,2018-06-01T00:00:00
Occidental Mindoro,2018-06,4.6764221056515034E-5,2018-06-01T00:00:00
Oriental Mindoro,2018-06,4.6770257807530764E-5,2018-06-01T00:00:00
Pampanga,2018-06,5.1330380170368525E-5,2018-06-01T00:00:00
Pangasinan,2018-06,5.3356210870765594E-5,2018-06-01T00:00:00
Quezon,2018-06,4.7708435550625925E-5,2018-06-01T00:00:00
Quirino,2018-06,5.565265907667168E-5,2018-06-01T00:00:00
Rizal,2018-06,7.090194314758437E-5,2018-06-01T00:00:00
Romblon,2018-06,4.566433170499649E-5,2018-06-01T00:00:00
Sarangani,2018-06,3.813105252947061E-5,2018-06-01T00:00:00
Siquijor,2018-06,4.302701643961306E-5,2018-06-01T00:00:00
Sorsogon,2018-06,4.797729347522655E-5,2018-06-01T00:00:00
South Cotabato,2018-06,4.2619246212802675E-5,2018-06-01T00:00:00
Southern Leyte,2018-06,4.761729089430359E-5,2018-06-01T00:00:00
Sultan Kudarat,2018-06,4.0411188660280164E-5,2018-06-01T00:00:00
Sulu,2018-06,4.230945461492043E-5,2018-06-01T00:00:00
Surigao del Norte,2018-06,4.8913322006147045E-5,2018-06-01T00:00:00
Surigao del Sur,2018-06,4.633234166666323E-5,2018-06-01T00:00:00
Tarlac,2018-06,5.354132425561155E-5,2018-06-01T00:00:00
Tawi-Tawi,2018-06,4.120066633685715E-5,2018-06-01T00:00:00
Zambales,2018-06,4.7834131983020876E-5,2018-06-01T00:00:00
Zamboanga del Norte,2018-06,4.1940513782673485E-5,2018-06-01T00:00:00
Zamboanga del Sur,2018-06,4.238065952267766E-5,2018-06-01T00:00:00
Zamboanga Sibugay,2018-06,4.238983313759444E-5,2018-06-01T00:00:00
Palawan,2018-06,3.773412068721768E-5,2018-06-01T00:00:00
Samar,2018-06,4.844874356984004E-5,2018-06-01T00:00:00
Davao del Norte,2018-07,4.917448583875414E-5,2018-07-01T00:00:00
Abra,2018-07,5.631766597241817E-5,2018-07-01T00:00:00
Agusan del Norte,2018-07,4.6161376238904846E-5,2018-07-01T00:00:00
Agusan del Sur,2018-07,4.580028977988461E-5,2018-07-01T00:00:00
Aklan,2018-07,4.6136451664087255E-5,2018-07-01T00:00:00
Albay,2018-07,5.106069378495588E-5,2018-07-01T00:00:00
Antique,2018-07,4.307032405999775E-5,2018-07-01T00:00:00
Apayao,2018-07,5.6134032261581395E-5,2018-07-01T00:00:00
Aurora,2018-07,5.503387442765272E-5,2018-07-01T00:00:00
Basilan,2018-07,4.280199396192306E-5,2018-07-01T00:00:00
Bataan,2018-07,5.7916307065653055E-5,2018-07-01T00:00:00
Batanes,2018-07,5.5760888208254594E-5,2018-07-01T00:00:00
Batangas,2018-07,5.932876975547509E-5,2018-07-01T00:00:00
Benguet,2018-07,5.701845798401586E-5,2018-07-01T00:00:00
Biliran,2018-07,4.884990040870303E-5,2018-07-01T00:00:00
Bohol,2018-07,4.567067894986907E-5,2018-07-01T00:00:00
Bukidnon,2018-07,4.484053796841553E-5,2018-07-01T00:00:00
Bulacan,2018-07,7.186692314510854E-5,2018-07-01T00:00:00
Cagayan,2018-07,5.6990016872545185E-5,2018-07-01T00:00:00
Camarines Norte,2018-07,5.3762870675473936E-5,2018-07-01T00:00:00
Camarines Sur,2018-07,5.1438560307010225E-5,2018-07-01T00:00:00
Camiguin,2018-07,4.57256277272442E-5,2018-07-01T00:00:00
Capiz,2018-07,4.6315985801919804E-5,2018-07-01T00:00:00
Catanduanes,2018-07,4.963670198543009E-5,2018-07-01T00:00:00
Cavite,2018-07,6.216942703135631E-5,2018-07-01T00:00:00
Cebu,2018-07,4.8618690938456386E-5,2018-07-01T00:00:00
Compostela Valley,2018-07,4.766103317986031E-5,2018-07-01T00:00:00
Davao del Sur,2018-07,4.5475762416860027E-5,2018-07-01T00:00:00
