adm2_en,month,NO2,date
Davao de Oro,2018-06,4.366418181548433E-5,2018-06-01T00:00:00
Davao Occidental,2018-06,3.6646926844726464E-5,2018-06-01T00:00:00
Cotabato,2018-06,4.374332526725693E-5,2018-06-01T00:00:00
Maguindanao del Norte,2018-06,4.282434888450249E-5,2018-06-01T00:00:00
Maguindanao del Sur,2018-06,4.161804160141725E-5,2018-06-01T00:00:00
Davao de Oro,2018-07,4.7610037535237966E-5,2018-07-01T00:00:00
Davao Occidental,2018-07,4.3212399882269325E-5,2018-07-01T00:00:00
Cotabato,2018-07,4.618750183003164E-5,2018-07-01T00:00:00
Maguindanao del Norte,2018-07,4.4779061059893015E-5,2018-07-01T00:00:00
Maguindanao del Sur,2018-07,4.582934087483761E-5,2018-07-01T00:00:00
Davao de Oro,2018-08,4.445743021316044E-5,2018-08-01T00:00:00
Davao Occidental,2018-08,4.299532615004075E-5,2018-08-01T00:00:00
Cotabato,2018-08,4.528545475081254E-5,2018-08-01T00:00:00
Maguindanao del Norte,2018-08,4.441393241214396E-5,2018-08-01T00:00:00
Maguindanao del Sur,2018-08,4.5959967898928864E-5,2018-08-01T00:00:00
Davao de Oro,2018-09,4.580868183827866E-5,2018-09-01T00:00:00
Davao Occidental,2018-09,4.206299263074803E-5,2018-09-01T00:00:00
Cotabato,2018-09,4.4844687621910555E-5,2018-09-01T00:00:00
Maguindanao del Norte,2018-09,4.4393745013919914E-5,2018-09-01T00:00:00
Maguindanao del Sur,2018-09,4.509090543965997E-5,2018-09-01T00:00:00
Davao de Oro,2018-10,4.403113570088982E-5,2018-10-01T00:00:00
Davao Occidental,2018-10,4.172524902000808E-5,2018-10-01T00:00:00
Cotabato,2018-10,4.583138359580435E-5,2018-10-01T00:00:00
Maguindanao del Norte,2018-10,4.528436351761935E-5,2018-10-01T00:00:00
Maguindanao del Sur,2018-10,4.7232765603219064E-5,2018-10-01T00:00:00
Davao de Oro,2018-11,4.1090298230311E-5,2018-11-01T00:00:00
Davao Occidental,2018-11,4.027924870415384E-5,2018-11-01T00:00:00
Cotabato,2018-11,4.3083082057828E-5,2018-11-01T00:00:00
Maguindanao del Norte,2018-11,4.220510649834349E-5,2018-11-01T00:00:00
Maguindanao del Sur,2018-11,4.446278306293235E-5,2018-11-01T00:00:00
Davao de Oro,2018-12,4.066027539527668E-5,2018-12-01T00:00:00
Davao Occidental,2018-12,3.9450723219176844E-5,2018-12-01T00:00:00
Cotabato,2018-12,4.299959006071575E-5,2018-12-01T00:00:00
Maguindanao del Norte,2018-12,4.2705216708036565E-5,2018-12-01T00:00:00
Maguindanao del Sur,2018-12,4.3503396113010665E-5,2018-12-01T00:00:00
Davao de Oro,2019-01,3.5575740411087094E-5,2019-01-01T00:00:00
Davao Occidental,2019-01,3.3881301083113265E-5,2019-01-01T00:00:00
Cotabato,2019-01,3.7807380160704964E-5,2019-01-01T00:00:00
Maguindanao del Norte,2019-01,3.961011548928037E-5,2019-01-01T00:00:00
Maguindanao del Sur,2019-01,3.9736531924010285E-5,2019-01-01T00:00:00
Davao de Oro,2019-02,3.693064365113872E-5,2019-02-01T00:00:00
Davao Occidental,2019-02,3.684662550169518E-5,2019-02-01T00:00:00
Cotabato,2019-02,4.1811100390891086E-5,2019-02-01T00:00:00
Maguindanao del Norte,2019-02,4.504181369087772E-5,2019-02-01T00:00:00
Maguindanao del Sur,2019-02,4.455072692862014E-5,2019-02-01T00:00:00
Davao de Oro,2019-03,3.685858222655259E-5,2019-03-01T00:00:00
Davao Occidental,2019-03,3.631573405956429E-5,2019-03-01T00:00:00
Cotabato,2019-03,4.327988157809797E-5,2019-03-01T00:00:00
Maguindanao del Norte,2019-03,4.5644740361133096E-5,2019-03-01T00:00:00
Maguindanao del Sur,2019-03,4.7035227908454864E-5,2019-03-01T00:00:00
Davao de Oro,2019-04,3.5860855599089786E-5,2019-04-01T00:00:00
Davao Occidental,2019-04,3.445321213763679E-5,2019-04-01T00:00:00
Cotabato,2019-04,3.9695995584659735E-5,2019-04-01T00:00:00
Maguindanao del Norte,2019-04,4.019028101891705E-5,2019-04-01T00:00:00
Maguindanao del Sur,2019-04,4.134028183077717E-5,2019-04-01T00:00:00
Davao de Oro,2019-05,4.330883361107328E-5,2019-05-01T00:00:00
Davao Occidental,2019-05,3.99865569711758E-5,2019-05-01T00:00:00
Cotabato,2019-05,4.372686290588777E-5,2019-05-01T00:00:00
Maguindanao del Norte,2019-05,4.290750450695993E-5,2019-05-01T00:00:00
Maguindanao del Sur,2019-05,4.525917136805918E-5,2019-05-01T00:00:00
Davao de Oro,2019-06,4.163633263842382E-5,2019-06-01T00:00:00
