region,month,NO2_umol_m2
Abra,2018-06-01,52.000815214294946
Abra,2018-07-01,56.317665972418176
Abra,2018-08-01,50.986105310753615
Abra,2018-09-01,50.59881719061345
Abra,2018-10-01,53.04143221687719
Abra,2018-11-01,47.85010545175654
Abra,2018-12-01,48.742933229148925
Abra,2019-01-01,47.460308238445556
Abra,2019-02-01,52.556031764403585
Abra,2019-03-01,54.87547586487093
Abra,2019-04-01,58.23659508457312
Abra,2019-05-01,60.90216841911882
Abra,2019-06-01,59.996763334596245
Abra,2019-07-01,55.31190773861104
Abra,2019-08-01,50.49934671130518
Abra,2019-09-01,47.604899040445815
Abra,2019-10-01,45.0902805061445
Abra,2019-11-01,41.07305152545402
Abra,2019-12-01,39.63583241953108
Abra,2020-01-01,41.742685254153734
Abra,2020-02-01,42.66425659414864
Abra,2020-03-01,51.11713197792429
Abra,2020-04-01,53.1883551227951
Abra,2020-05-01,54.49272169797119
Abra,2020-06-01,52.00602785657005
Abra,2020-07-01,50.90704870967467
Abra,2020-08-01,49.60576622882186
Abra,2020-09-01,47.86287371535728
Abra,2020-10-01,45.01369423007982
Abra,2020-11-01,46.31478320387699
Abra,2020-12-01,45.939549195894855
Abra,2021-01-01,43.96416308498572
Abra,2021-02-01,46.4185306286405
Abra,2021-03-01,55.475151420348766
Abra,2021-04-01,61.05465323350848
Abra,2021-05-01,63.41439502171044
Abra,2021-06-01,58.65524211428756
Abra,2021-07-01,54.624172036102664
Abra,2021-08-01,52.83249444381764
Abra,2021-09-01,53.21493514328111
Abra,2021-10-01,51.03750646090477
Abra,2021-11-01,45.77853363585289
Abra,2021-12-01,42.96975995237117
Abra,2022-01-01,43.19085141993167
Abra,2022-02-01,44.83039466635419
Abra,2022-03-01,47.5069893811405
Abra,2022-04-01,50.06892588869205
Abra,2022-05-01,52.07587480581908
Abra,2022-06-01,52.335954349148174
Abra,2022-07-01,50.053350755488275
Abra,2022-08-01,52.909430307231354
Abra,2022-09-01,52.6350319209962
Abra,2022-10-01,51.62787376437277
Abra,2022-11-01,49.34804331071662
Abra,2022-12-01,51.530536416910884
Abra,2023-01-01,50.459454140558485
Abra,2023-02-01,55.205918426650875
Abra,2023-03-01,63.91788222635251
Abra,2023-04-01,68.91264243524239
Abra,2023-05-01,66.61300137131072
Abra,2023-06-01,60.320344961433314
Abra,2023-07-01,60.48054873887879
Abra,2023-08-01,53.18516929180966
Abra,2023-09-01,55.51867652986037
Abra,2023-10-01,50.201041583874826
Abra,2023-11-01,47.523191871358094
